title,body_html,vendor,product_type,created_at,handle,updated_at,published_at,template_suffix,published_scope,tags,image,variant_id,variant_product_id,variant_title,variant_price,variant_sku,variant_position,variant_compare_at_price,variant_fulfillment_service,variant_inventory_management,variant_option1,variant_option2,variant_option3,variant_created_at,variant_updated_at,variant_taxable,variant_barcode,variant_grams,variant_image_id,variant_weight,variant_weight_unit,variant_requires_shipping
RDS X C&B FLY BOX,,Red Dragon Apparel,ACCESSORIES,2022-04-23T06:31:45-07:00,rds-x-c-b-fly-box-1,2022-04-23T06:31:45-07:00,2022-04-23T06:31:45-07:00,,web,"Accessories, AccessoriesAll, FA22",,42814130487534,7674036519150,Default Title,59.95,RD11232,1,0.00,manual,shopify,Default Title,,,2022-04-23T06:31:45-07:00,2022-04-23T06:31:45-07:00,True,,0,,0.0,kg,True
RDS AIR FRESHENER,"We're keepin' it fresh with these vanilla scented RDS air fresheners.  Hang it in your car, room, or wherever.",Red Dragon Apparel,ACCESSORIES,2022-04-29T14:47:39-07:00,rds-air-freshener-30,2022-04-29T14:47:40-07:00,2022-04-29T14:47:15-07:00,,web,"Accessories, AccessoriesAll, HD22",https://cdn.shopify.com/s/files/1/0014/5539/0779/products/media_87a35640-c481-40fc-91dd-e8b8fa592d32.jpg?v=1651268859,42856543944942,7682742485230,Default Title,4.95,RD9055,1,0.00,manual,shopify,Default Title,,,2022-04-29T14:47:39-07:00,2022-04-29T14:47:39-07:00,True,,0,,0.0,kg,True
RDS AIR FRESHENER,"We're keepin' it fresh with these vanilla scented RDS air fresheners.  Hang it in your car, room, or wherever.",Red Dragon Apparel,ACCESSORIES,2022-04-29T14:47:41-07:00,rds-air-freshener-31,2022-04-29T14:47:42-07:00,2022-04-29T14:47:15-07:00,,web,"Accessories, AccessoriesAll, HD22",https://cdn.shopify.com/s/files/1/0014/5539/0779/products/media_d83642bc-5956-4994-8e7f-183dea6d5623.jpg?v=1651268861,42856544010478,7682742550766,Default Title,4.95,RD9056,1,0.00,manual,shopify,Default Title,,,2022-04-29T14:47:41-07:00,2022-04-29T14:47:41-07:00,True,,0,,0.0,kg,True
RDS AIR FRESHENER,"<font face=""Century Gothic, sans-serif""><span style=""font-size: 18px; background-color: rgb(255, 255, 255);"">We're keepin' it fresh with these vanilla scented RDS air fresheners.  Hang it in your car, room, or wherever.</span></font>",Red Dragon Apparel,ACCESSORIES,2022-04-29T14:47:43-07:00,rds-air-freshener-32,2022-04-29T14:47:43-07:00,2022-04-29T14:47:15-07:00,,web,"Accessories, AccessoriesAll, HD22",https://cdn.shopify.com/s/files/1/0014/5539/0779/products/media_26afed21-6103-4432-868c-d395b02ea32e.jpg?v=1651268863,42856544043246,7682742583534,Default Title,4.95,RD9057,1,0.00,manual,shopify,Default Title,,,2022-04-29T14:47:43-07:00,2022-04-29T14:47:43-07:00,True,,0,,0.0,kg,True
RDS AIR FRESHENER,"We're keepin' it fresh with these vanilla scented RDS air fresheners.  Hang it in your car, room, or wherever.",Red Dragon Apparel,ACCESSORIES,2022-04-29T14:47:45-07:00,rds-air-freshener-33,2022-04-29T14:47:45-07:00,2022-04-29T14:47:15-07:00,,web,"Accessories, AccessoriesAll, HD22",https://cdn.shopify.com/s/files/1/0014/5539/0779/products/media_194d8b1b-8af5-4435-adc0-23673b4a45fd.jpg?v=1651268865,42856544108782,7682742649070,Default Title,4.95,RD9058,1,0.00,manual,shopify,Default Title,,,2022-04-29T14:47:45-07:00,2022-04-29T14:47:45-07:00,True,,0,,0.0,kg,True
RDS AIR FRESHENER,"We're keepin' it fresh with these vanilla scented RDS air fresheners.  Hang it in your car, room, or wherever.",Red Dragon Apparel,ACCESSORIES,2022-04-29T14:47:46-07:00,rds-air-freshener-34,2022-04-29T14:47:46-07:00,2022-04-29T14:47:15-07:00,,web,"Accessories, AccessoriesAll, HD22",,42856544141550,7682742681838,Default Title,4.95,RD9061,1,0.00,manual,shopify,Default Title,,,2022-04-29T14:47:46-07:00,2022-04-29T14:47:46-07:00,True,,0,,0.0,kg,True
RDS AIR FRESHENER,"We're keepin' it fresh with these vanilla scented RDS air fresheners.  Hang it in your car, room, or wherever.",Red Dragon Apparel,ACCESSORIES,2022-04-29T14:47:47-07:00,rds-air-freshener-35,2022-04-29T14:47:48-07:00,2022-04-29T14:47:15-07:00,,web,"Accessories, AccessoriesAll, HD22",https://cdn.shopify.com/s/files/1/0014/5539/0779/products/media_3b6e8274-4b88-4a6a-adca-07bf8670f883.jpg?v=1651268867,42856544207086,7682742747374,Default Title,4.95,RD9481,1,0.00,manual,shopify,Default Title,,,2022-04-29T14:47:47-07:00,2022-04-29T14:47:47-07:00,True,,0,,0.0,kg,True
RDS AIR FRESHENER GRANDE AIR,"We're keepin' it fresh with these vanilla scented RDS air fresheners.  Hang our scented Red Dragon logo in your car, room, or wherever.",Red Dragon Apparel,ACCESSORIES,2022-04-29T14:48:11-07:00,rds-air-freshener-grande-air-18,2022-04-29T14:48:11-07:00,2022-04-29T14:47:49-07:00,,web,"Accessories, AccessoriesAll, HD22",https://cdn.shopify.com/s/files/1/0014/5539/0779/products/media_f8ace951-1cde-4d03-8cf8-e89b51b258c0.jpg?v=1651268891,42856547647726,7682742943982,Default Title,4.95,RD9605,1,0.00,manual,shopify,Default Title,,,2022-04-29T14:48:11-07:00,2022-04-29T14:48:11-07:00,True,,0,,0.0,kg,True
RDS AIR FRESHENER GRANDE AIR,"We're keepin' it fresh with these vanilla scented RDS air fresheners.  Hang our scented Red Dragon logo in your car, room, or wherever.",Red Dragon Apparel,ACCESSORIES,2022-04-29T14:48:13-07:00,rds-air-freshener-grande-air-19,2022-04-29T14:48:13-07:00,2022-04-29T14:47:49-07:00,,web,"Accessories, AccessoriesAll, HD22",https://cdn.shopify.com/s/files/1/0014/5539/0779/products/media_d7cf1a31-4c8f-4521-a8c2-f30900c70443.jpg?v=1651268893,42856547713262,7682743009518,Default Title,4.95,RD9606,1,0.00,manual,shopify,Default Title,,,2022-04-29T14:48:13-07:00,2022-04-29T14:48:13-07:00,True,,0,,0.0,kg,True
RDS AIR FRESHENER GRANDE AIR,"We're keepin' it fresh with these vanilla scented RDS air fresheners.  Hang our scented Red Dragon logo in your car, room, or wherever.",Red Dragon Apparel,ACCESSORIES,2022-04-29T14:48:15-07:00,rds-air-freshener-grande-air-20,2022-04-29T14:48:15-07:00,2022-04-29T14:47:49-07:00,,web,"Accessories, AccessoriesAll, HD22",https://cdn.shopify.com/s/files/1/0014/5539/0779/products/media_84492766-62fc-43f6-a6d5-8dc104a6ab9a.jpg?v=1651268895,42856547746030,7682743042286,Default Title,4.95,RD9607,1,0.00,manual,shopify,Default Title,,,2022-04-29T14:48:15-07:00,2022-04-29T14:48:15-07:00,True,,0,,0.0,kg,True
